Player,Team,Nation,Position,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Playing Time_MP,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Tyler Morton,Liverpool,eng ENG,MF,21.0,0.0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Tyrell Malacia,Manchester United,nl NED,MF,24.0,3.0,2,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1.1,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,N/a,N/a,0.0
Tyrick Mitchell,Crystal Palace,eng ENG,MF,24.0,37.0,37,3092.0,34.4,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.15,0.15,0.0,0.15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,34.4,0.0,12.0,3.0,25.0,0.35,0.09,0.0,0.0,0.0,0.0,0.0,23.0,25.0,2.0,107.0,21.0,53.0,N/a,N/a,0.0
Tyrique George,Chelsea,eng ENG,FW,18.0,8.0,1,183.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.49,0.49,0.98,0.49,0.98,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2.0,1.0,3.0,1.0,33.3,1.48,0.49,0.33,1.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,2.0,0.0,N/a,N/a,0.0
Tyrone Mings,Aston Villa,eng ENG,DF,31.0,N/a,12,1120.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12.4,0.0,9.0,1.0,11.1,0.72,0.08,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,1.0,7.0,6.0,N/a,N/a,0.0
Valentino Livramento,Newcastle United,eng ENG,DF,21.0,37.0,32,2840.0,31.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,31.6,0.0,6.0,2.0,33.3,0.19,0.06,0.0,0.0,0.0,0.0,0.0,6.0,35.0,2.0,52.0,26.0,34.0,N/a,N/a,0.0
Valentín Barco,Brighton & Hove Albion,ar ARG,"DF,MF",20.0,0.0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Victor Bernth Kristiansen,Leicester City,dk DEN,"DF,MF",21.0,N/a,29,2482.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.04,0.0,0.04,30.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,27.6,0.0,3.0,0.0,0.0,0.11,0.0,0.0,N/a,0.0,0.0,0.0,19.0,18.0,3.0,96.0,37.0,51.0,N/a,N/a,1.0
Victor Lindelöf,Manchester United,se SWE,DF,30.0,16.0,6,704.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,7.8,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,8.0,1.0,0.0,1.0,7.0,2.0,N/a,N/a,0.0
Virgil van Dijk,Liverpool,nl NED,DF,33.0,37.0,37,3330.0,37.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.08,0.03,0.11,0.08,0.11,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,37.0,3.0,26.0,8.0,30.8,0.7,0.22,0.12,0.38,0.0,0.0,0.0,17.0,13.0,0.0,1.0,54.0,20.0,N/a,N/a,0.0
Vitaliy Mykolenko,Everton,ua UKR,DF,25.0,N/a,35,3082.0,34.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.03,0.06,0.09,0.03,0.09,35.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,34.2,1.0,14.0,1.0,7.1,0.41,0.03,0.07,1.0,0.0,0.0,0.0,22.0,34.0,3.0,100.0,42.0,38.0,N/a,N/a,0.0
Vitaly Janelt,Brentford,de GER,MF,26.0,32.0,27,2254.0,25.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.04,0.12,0.16,0.04,0.16,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,25.0,1.0,14.0,4.0,28.6,0.56,0.16,0.07,0.25,0.0,0.0,0.0,25.0,15.0,1.0,31.0,27.0,24.0,N/a,N/a,2.0
Vitezslav Jaros,Liverpool,cz CZE,GK,23.0,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,N/a,0.0,0.0,0.0,0.0,N/a,0.1,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,0.0
Vitor Reis,Manchester City,br BRA,DF,18.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,0.0
Vladimír Coufal,West Ham United,cz CZE,"DF,MF",31.0,22.0,11,1067.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11.9,0.0,7.0,2.0,28.6,0.59,0.17,0.0,0.0,0.0,0.0,0.0,22.0,16.0,0.0,28.0,8.0,16.0,N/a,N/a,1.0
Wataru Endo,Liverpool,jp JPN,MF,31.0,20.0,1,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,15.0,7.0,0.0,1.0,6.0,8.0,N/a,N/a,0.0
Wayne Hennessey,Nottingham Forest,wls WAL,GK,37.0,0.0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Welington,Southampton,br BRA,"MF,DF",23.0,N/a,6,482.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,5.4,0.0,3.0,0.0,0.0,0.56,0.0,0.0,N/a,0.0,0.0,0.0,6.0,8.0,1.0,17.0,5.0,10.0,N/a,N/a,0.0
