Player,Team,Nation,Position,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Playing Time_MP,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Pau Torres,Aston Villa,es ESP,DF,27.0,N/a,23,2020.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,22.4,0.0,8.0,3.0,37.5,0.36,0.13,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,4.0,9.0,15.0,N/a,N/a,0.0
Paul Onuachu,Southampton,ng NGA,FW,30.0,N/a,11,1050.0,11.7,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,0.34,0.09,0.43,0.34,0.43,25.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11.7,4.0,34.0,15.0,44.1,2.91,1.29,0.12,0.27,0.0,0.0,0.0,28.0,16.0,10.0,0.0,1.0,2.0,N/a,N/a,0.0
Pedro Neto,Chelsea,pt POR,"MF,FW",24.0,35.0,24,2269.0,25.2,4.0,6.0,10.0,4.0,0.0,0.0,8.0,0.0,0.16,0.24,0.4,0.16,0.4,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,25.2,4.0,59.0,17.0,28.8,2.34,0.67,0.07,0.24,0.0,0.0,0.0,21.0,33.0,3.0,149.0,8.0,10.0,N/a,N/a,0.0
Pervis Estupiñán,Brighton & Hove Albion,ec ECU,DF,26.0,30.0,26,2402.0,26.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.04,0.04,0.07,0.04,0.07,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,26.7,1.0,28.0,9.0,32.1,1.05,0.34,0.04,0.11,0.0,0.0,0.0,36.0,20.0,3.0,119.0,39.0,44.0,N/a,N/a,0.0
Phil Foden,Manchester City,eng ENG,"MF,FW",24.0,28.0,20,1777.0,19.7,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,0.35,0.1,0.46,0.35,0.46,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,19.7,7.0,54.0,16.0,29.6,2.73,0.81,0.13,0.44,0.0,0.0,0.0,5.0,35.0,3.0,81.0,9.0,5.0,N/a,N/a,0.0
Rasmus Højlund,Manchester United,dk DEN,FW,21.0,32.0,23,2004.0,22.3,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.18,0.0,0.18,0.18,0.18,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,22.3,4.0,32.0,13.0,40.6,1.44,0.58,0.13,0.31,0.0,0.0,0.0,18.0,28.0,13.0,7.0,2.0,1.0,N/a,N/a,0.0
Rayan Aït-Nouri,Wolverhampton Wanderers,dz ALG,"MF,DF",23.0,37.0,37,3109.0,34.5,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,0.12,0.2,0.32,0.12,0.32,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,34.5,4.0,36.0,13.0,36.1,1.04,0.38,0.11,0.31,0.0,0.0,1.0,30.0,46.0,6.0,94.0,24.0,55.0,N/a,N/a,0.0
Raúl Jiménez,Fulham,mx MEX,FW,33.0,N/a,30,2494.0,27.7,12.0,3.0,15.0,9.0,3.0,3.0,4.0,0.0,0.43,0.11,0.54,0.32,0.43,38.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,27.7,12.0,96.0,33.0,34.4,3.46,1.19,0.09,0.27,3.0,3.0,0.0,39.0,41.0,15.0,22.0,11.0,24.0,N/a,N/a,0.0
Reece James,Chelsea,eng ENG,"DF,MF",24.0,19.0,12,1063.0,11.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.08,0.08,0.17,0.08,0.17,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11.8,1.0,11.0,3.0,27.3,0.93,0.25,0.09,0.33,0.0,0.0,0.0,8.0,11.0,0.0,43.0,14.0,9.0,N/a,N/a,0.0
Riccardo Calafiori,Arsenal,it ITA,DF,22.0,19.0,11,983.0,10.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.18,0.09,0.27,0.18,0.27,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10.9,2.0,10.0,6.0,60.0,0.92,0.55,0.2,0.33,0.0,0.0,0.0,15.0,6.0,3.0,11.0,8.0,18.0,N/a,N/a,0.0
