Player,Age,Team,Estimated Value
Jean-Philippe Mateta,28,Crystal Palace,€38.7M
Oscar Bobb ,22,Fulham FC,€38.6M
Diogo Dalot,26,Manchester United,€38.5M
Youri Tielemans,28,Aston Villa,€38.4M
Jan Paul van Hecke,25,Brighton & Hove Albion,€38.2M
Patrick Dorgu,21,Manchester United,€38.1M
Mykhaylo Mudryk,25,Chelsea,€37.8M
André,24,Wolverhampton Wanderers,€37.7M
Djordje Petrovic,26,Bournemouth,€37.6M
Mikkel Damsgaard,25,Brentford FC,€37.6M
Dango Ouattara,24,Brentford FC,€37M
Kevin,23,Fulham FC,€36.9M
Sepp van den Berg,24,Brentford FC,€36.9M
Ezri Konsa,28,Aston Villa,€36.3M
Malo Gusto,22,Chelsea,€36.2M
Lisandro Martínez,28,Manchester United,€36.1M
El Hadji Malick Diouf,21,West Ham United,€35.8M
Malick Thiaw,24,Newcastle United,€35.7M
Randal Kolo Muani,27,Tottenham,€35.5M
Joelinton,29,Newcastle United,€35M
Pau Torres,29,Aston Villa,€34.7M
Calvin Bassey,26,Fulham FC,€34.4M
Alex Iwobi,29,Fulham FC,€34.3M
Mason Mount,27,Manchester United,€33.7M
Lewis Hall,21,Newcastle United,€33.6M
Guglielmo Vicario,29,Tottenham,€33.5M
Nikola Milenković,28,Nottingham Forest,€33.5M
João Palhinha,30,Tottenham,€32.9M
Lorenzo Lucca,25,Nottingham Forest,€32.7M
Kiernan Dewsbury-Hall,27,Everton FC,€32.5M
Ian Maatsen,23,Aston Villa,€32.2M
Evann Guessand,24,Crystal Palace,€31.8M
Jaydee Canvot,19,Crystal Palace,€30.7M
Lewis Miley,19,Newcastle United,€30.6M
Evanilson,26,Bournemouth,€30.6M
Giovanni Leoni,19,Liverpool FC,€30.5M
Kaoru Mitoma,28,Brighton & Hove Albion,€30.3M
Alex Scott,22,Bournemouth,€30.2M
Nathan Collins,24,Brentford FC,€30.2M
Vitaliy Mykolenko,26,Everton FC,€30.1M
Charalampos Kostoulas,18,Brighton & Hove Albion,€29.8M
Thierno Barry,23,Everton FC,€29.5M
James Garner,24,Everton FC,€29.5M
Dário Essugo,20,Chelsea,€29.4M
Yegor Yarmolyuk,22,Brentford FC,€29.4M
Tyrick Mitchell,26,Crystal Palace,€29.2M
Joshua Zirkzee,24,Manchester United,€29M
Maxime Estève,23,Burnley FC,€28.7M
Giorgi Mamardashvili,25,Liverpool FC,€28.2M
Ferdi Kadıoğlu,26,Brighton & Hove Albion,€28.2M
Dean Henderson,28,Crystal Palace,€28.1M
Daniel Muñoz,29,Crystal Palace,€28.1M
Wilson Odobert ,21,Tottenham,€28M
Stefanos Tzimas,20,Brighton & Hove Albion,€28M
Wesley Fofana,25,Chelsea,€27.9M
Chemsdine Talbi,20,Sunderland AFC,€27.7M
Maximilian Kilman,28,West Ham United,€27.7M
Facundo Buonanotte,21,Leeds United,€27.7M
Keane Lewis-Potter,25,Brentford FC,€27.7M
Antoni Milambo,20,Brentford FC,€27.6M
Tolu Arokodare,25,Wolverhampton Wanderers,€27.5M
Mamadou Sarr,20,Chelsea,€27.4M
David Raya,30,Arsenal FC,€27.4M
Matty Cash,28,Aston Villa,€27.4M
Kevin Danso,27,Tottenham,€27.3M
Lesley Ugochukwu,21,Burnley FC,€27.2M
Sander Berge,28,Fulham FC,€27.2M
Jarrad Branthwaite,23,Everton FC,€27.1M
Yoane Wissa,29,Newcastle United,€26.9M
Tyrique George,20,Everton FC,€26.8M
Douglas Luiz,27,Aston Villa,€26.6M
Omari Hutchinson ,22,Nottingham Forest,€26.3M
Radu Drăgușin,24,Tottenham,€26.3M
Emile Smith Rowe,25,Fulham FC,€26.2M
Rio Ngumoha,17,Liverpool FC,€26.2M
Josh Acheampong,19,Chelsea,€26.2M
Wilfried Gnonto,22,Leeds United,€26.1M
Rodrigo Bentancur  ,28,Tottenham,€26M
Igor Jesus,25,Nottingham Forest,€25.9M
Caoimhín Kelleher,27,Brentford FC,€25.8M
Brian Brobbey,24,Sunderland AFC,€25.7M
James McAtee,23,Nottingham Forest,€25.6M
Igor Thiago,24,Brentford FC,€25.5M
Crysencio Summerville,24,West Ham United,€25.4M
Adrien Truffert,24,Bournemouth,€25.2M
Taty Castellanos,27,West Ham United,€25.2M
Tyler Adams,27,Bournemouth,€25.1M
Benoît Badiashile,24,Chelsea,€25.1M
Amine Adli,25,Bournemouth,€24.9M
Maxim De Cuyper,25,Brighton & Hove Albion,€24.9M
Jack Grealish,30,Everton FC,€24.8M
Ben Gannon-Doak,20,Bournemouth,€24.7M
Axel Disasi,27,West Ham United,€24.7M
Lutsharel Geertruida,25,Sunderland AFC,€24.7M
Aaron Wan-Bissaka,28,West Ham United,€24.7M
Eliezer Mayenda,20,Sunderland AFC,€24.6M
Marcus Tavernier,26,Bournemouth,€24.5M
Ibrahim Sangaré,28,Nottingham Forest,€24.4M
Robert Sánchez,28,Chelsea,€24.3M
Jake O'Brien,24,Everton FC,€24.1M
Noah Sadiki,21,Sunderland AFC,€24M
Veljko Milosavljevic,18,Bournemouth,€23.8M
Noussair Mazraoui,28,Manchester United,€23.7M
Álex Jiménez,20,Bournemouth,€23.6M
Trai Hume,23,Sunderland AFC,€23.5M
Tosin Adarabioyo,28,Chelsea,€23.5M
Ola Aina ,29,Nottingham Forest,€23.4M
Quilindschy Hartman,24,Burnley FC,€23.3M
Mateus Fernandes,21,West Ham United,€23.2M
Jaka Bijol,27,Leeds United,€22.5M
Ethan Ampadu,25,Leeds United,€22.4M
Enzo Le Fée,26,Sunderland AFC,€22.3M
Robin Roefs,23,Sunderland AFC,€22.2M
Matt O'Riley,25,Brighton & Hove Albion,€22.2M
Bernardo Silva  ,31,Manchester City,€22.1M
Gabriel Jesus,28,Arsenal FC,€21.9M
Jean-Clair Todibo,26,West Ham United,€21.5M
Eddie Nketiah,26,Crystal Palace,€21.4M
Pascal Struijk,26,Leeds United,€21M
Florentino,26,Burnley FC,€20.9M
Dwight McNeil,26,Everton FC,€20.8M
Beto,28,Everton FC,€20.7M
Neco Williams,24,Nottingham Forest,€20.4M
Jean-Ricner Bellegarde,27,Wolverhampton Wanderers,€20.2M
Sverre Nypan,19,Manchester City,€20.1M
Federico Chiesa,28,Liverpool FC,€20.1M
Filip Jørgensen,23,Chelsea,€20M
Cheick Doucouré,26,Crystal Palace,€20M
Antonín Kinský,22,Tottenham,€20M
Aaron Hickey,23,Brentford FC,€19.9M
Ladislav Krejci,26,Wolverhampton Wanderers,€19.9M
Christantus Uche,22,Crystal Palace,€19.8M
Leandro Trossard,31,Arsenal FC,€19.8M
William Osula,22,Newcastle United,€19.8M
Soungoutou Magassa,22,West Ham United,€19.7M
Loum Tchaouna,22,Burnley FC,€19.7M
Eli Kroupi,19,Bournemouth,€19.3M
Richarlison ,28,Tottenham,€19.3M
Marcos Senesi,28,Bournemouth,€19.1M
Ryan Sessegnon,25,Fulham FC,€18.9M
Mads Hermansen,25,West Ham United,€18.9M
Konstantinos Mavropanos,28,West Ham United,€18.8M
Lucas Perri,28,Leeds United,€18.8M
Wilson Isidor,25,Sunderland AFC,€18.7M
John McGinn,31,Aston Villa,€18.7M
Jadon Sancho,25,Aston Villa,€18.6M
Hannibal,23,Burnley FC,€18.5M
Yves Bissouma,29,Tottenham,€18.5M
Nathan Aké,31,Manchester City,€18.4M
Jair Cunha ,20,Nottingham Forest,€18.3M
Morato,24,Nottingham Forest,€18.2M
Aaron Ramsdale,27,Newcastle United,€18.1M
Carlos Alcaraz,23,Everton FC,€18M
Harry Wilson,28,Fulham FC,€17.9M
Olivier Boscagli,28,Brighton & Hove Albion,€17.9M
Emiliano Martínez,33,Aston Villa,€17.8M
Kristoffer Ajer,27,Brentford FC,€17.8M
Brenden Aaronson,25,Leeds United,€17.7M
Sean Longstaff,28,Leeds United,€17.7M
Nicolás Domínguez,27,Nottingham Forest,€17.7M
Chris Richards,25,Crystal Palace,€17.6M
